species,species_original_name,Obligate_or_facultative,Simple_or_complex,Sterile_soma,Proportion_of_sterile_cells,cell_types,cell_number,clonal,Fisher Ref,kingdom,phylum,class,order,taxon,SexualReproductionObserved_Species,AsexualGameticObserved_Species,FissionOrBuddingObserved_Species,SexualReproductionObserved_Genus,AsexualGameticObserved_Genus,FissionOrBuddingObserved_Genus,notes,germline_timing,References
Hirudo medicinalis,Hirudo medicinalis,obligate,complex,yes,NA,26,19953000000,clonal,[21],Animalia,Annelida,Clitellata,Arhynchobdellida,Hirudinidae,1,0,0,1,0,0,"Hirudinidae can't reproduce asexually, ",1,"(2-4, 6, 7)"
Hummia onusta,Hummia onusta,obligate,complex,yes,NA,5,100000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Dictyosiphonales,Striariaceae,1,1,0,1,1,0,"Fiore 1976: describes gametes and parthenogenesis (uses different genus name, but proposes hummia)",3,"(3, 24, 115)"
Hydra vulgaris,Hydra vulgaris,obligate,complex,yes,NA,15,63095.7345,clonal,[21],Animalia,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,1,0,1,1,0,1,"budding in hydra may be more akin to fragmentation in this definition: bud growth is driven by cell migration, rather than cell division. Can’t find reports of parthenogenesis, ",3,"(2, 6, 116, 117)"
Hymenophyllum tunbridgense,Hymenophyllum tunbridgense,obligate,complex,yes,NA,15,7079457844,clonal,[21],Plantae,Tracheophyta,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,0,0,1,0,0,1,"Effective reproduction, at least under present conditions in great britain, seems to occur only vegetatively’. Mature gametophytes not observed, and young sporophytes not found. Richards 1972",3,"(3, 118, 119)"
Isthmoplea sphaerophora,Isthmoplea sphaerophora,obligate,complex,yes,NA,3,15848.932,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,1,1,1,1,1,1,"Rueness 1974: apomeiotically formed individuals. Propoagation by vegetative means regularly observed by ‘formation of downgrading rhizoids, distal portion then shed and continues growing’. This is somewhere between budding and fragmentation… closer to budding as in hydra",3,"(3, 24, 120)"
Kurogiella saxatilis,Kurogiella saxatilis,obligate,complex,yes,NA,7,25119000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,0,1,0,0,1,0,"Kawai 1993: lost gametophyte stage, but produces single cell spores",3,"(3, 24, 121)"
Laminaria dentigera,Laminaria dentigera,obligate,complex,yes,NA,14,126000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,1,0,0,1,0,1,Laminaria digitata: Destombe 2011 shows male gametophytes fragments to reproduce. Life-cycle of general laminaria described in Bartsch 2008. Meiospores produced by meiosis to produce male/female gametophytes,3,"(122, 123)"
Leathesia difformis,Leathesia difformis,obligate,complex,yes,NA,6,39811000000,clonal,[30],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,1,1,0,1,1,0,"Wynne Edwards Book: gametophytes can be formed by parthenogenesis, and form sporophytes when gametes fuse.",3,"(24, 25)"
Lemna minor,Lemna minor,obligate,complex,yes,NA,18,794328.235,clonal,[21],Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,1,0,1,1,0,1,Lemon 2001: vegetative reproduction,3,"(3, 124)"
Lomandra hermaphrodita,Lomandra hermaphrodita,obligate,complex,yes,NA,36,35481000000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,1,0,1,1,0,1,"Ahmad 2014: lomandra longifolia, Kraus & Koch 2004: rhizomatous, wind pollenated.",3,"(3, 125) (126)"
Loxosoma saltans,loxosoma sultana,obligate,complex,yes,NA,16,3548.13,clonal,[21],Animalia,Kamptozoa,Entoprocta,Coloniales,Loxosomatidae,1,0,1,1,0,1,"Only one description: describes oocyte, sperm & few buds (assheton 1912) Appears that all Ectoprocta can bud, wiki. Perhaps with exception of L. isolata (Giere Meiobenthology)",3,"(2, 6, 127)"
Lumbricus terrestris,Lumbricus terrestris,obligate,complex,yes,NA,57,10000000000,clonal,[57],Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,1,0,0,1,1,0,"No fission in lumbricus from zattara, or in Cosin Earthworm chapter: cross fertilising hermaphrodite. However parthenogenesis is common in lumbricidae, observed in lumbricus eiseni (Reynolds 1974). Lumbriculus can reproduce by fission (Martinez 2006), so beware of potential confusion","1,2","(2-4, 6, 7, 128)"
Lyngbya aestuarii,Lyngbya aestuarii,obligate,simple,yes,NA,2,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,0,1,1,0,1,1,Schirrmeister 2011: Section 3,0,(15)
Macrostomum tuba,macrostomum gigas,obligate,complex,yes,NA,14,501187.23,clonal,[21],Animalia,Platyhelminthes,Rhabditophora,Macrostomorpha,Macrostomidae,1,0,0,1,0,0,Egger: exclusively sexually reproducing genus. Wudarski 2017: describes production of inseminated eggs in genus,3,"(2, 6, 129, 130) (131) (132)"
Mammillaria elongata,Mammillaria elongata,obligate,complex,yes,NA,27,63096000000,clonal,[21],Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,1,0,1,1,0,1,res.org.uk,3,"(3, 133)
RHS.org.uk"
Membranoptera subtropica,Membranoptera subtropica,obligate,complex,yes,NA,12,6309573.45,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,1,1,1,1,1,1,"New genus, Searlesia (Schneider 1979) Schneider 1974: rhizoids can initiate from margins and blade tips",3,"(3, 24, 134)"
Mesogloia linearis,Chordaria linearis,obligate,complex,yes,NA,6,10000000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,1,1,0,1,1,0,Wynne Edwards book: heteromorphic cycle without sexuality. Peters 1992 show sex and parthenogenesis in C. linearis too,3,"(3, 24, 25, 47)"
Methanosarcina mazei,Methanosarcina mazei,facultative,simple,NA,NA,NA,NA,clonal,"[16, 17]",Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,0,1,1,0,1,1,"Not obligately multicellular: asexual cell division, and the laminar can be split and will regrow.",0,(135)
Microcoleus chthonoplastes,Microcoleus chthonoplastes,obligate,simple,yes,NA,2,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Microcoleaceae,0,1,1,0,1,1,Schirrmeister 2011: section 3,0,(15)
Microcystis aeruginosa,Microcystis aeruginosa,facultative,simple,no,0,1,NA,non-clonal,[7],Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,0,1,0,0,1,0,Schirrmeister 2011: Unicellular,0,(15)
Monoclea forsteri,Monoclea forsteri,obligate,complex,yes,NA,13,3162277.66,clonal,"[21, 37]",Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Monocleaceae,1,0,1,1,0,1,Cavers 1903: observe fragments regrowing,3,"(66, 136)"
Morone saxatilis,Morone saxatilis,obligate,complex,yes,NA,122,251000000000.00,clonal,[21],Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,1,0,0,1,0,0,"Gervasi 2015: some reports of hermaphroditism, but rare. No reports of parthenogenesis","1,2","(2, 6, 137)"
Mus musculus,Mus musculus,obligate,complex,yes,NA,102,200000000000,clonal,[21],Animalia,Chordata,Mammalia,Rodentia,Muridae,1,0,0,1,0,0,"Parthenogenesis can be induced in mouse, but embryos die after ~10 days? Kono 2004. (But some vertebrates do use parthenogenesis! Lizards, etc)","1,2","(2, 6, 137)"
Myxococcus fulvus,Myxococcus fulvus,facultative,simple,yes,NA,2,100000,non-clonal,"[10, 11]",Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,0,1,0,0,1,0,"Good review in Muñoz-Dorado 2016. Cells have coordinated growth in swarms, but form fruiting bodies by aggregation during starvation",3,"(45, 138)"
Myxococcus xanthus,Myxococcus xanthus,facultative,simple,yes,NA,2,100000,non-clonal,[10-14],Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,0,1,0,0,1,0,"Good review in Muñoz-Dorado 2016. Cells have coordinated growth in swarms, but form fruiting bodies by aggregation during starvation",3,"(45, 138)"
Nais variabilis,Nais variabilis,obligate,complex,yes,NA,13,251188.643,clonal,[57],Animalia,Annelida,Clitellata,Haplotaxida,Naididae,1,0,1,1,0,1,"Lochhead and learner 1984 descibe sexual, 1983 for asexual, Parish 1981: most individuals asexual. Arthur: sexual specimens of naididae rarely found (Reproduction of marine invertebrates, v 3. pg 217)","1,2","(2-4, 6, 7, 61, 139-141)"
Neomenia carinata,neomenia carinata,obligate,complex,yes,NA,7,1000.00,clonal,[21],Animalia,Mollusca,Solenogastres,Neomeniamorpha,Neomeniidae,1,0,0,1,0,0,"Adults known to have gonads: Koren & Danielssen “Langs dyrets rugflade, I same renting som kjølen, I melee den of maven ligger Hermaphroditkjertelen”. Tullberg describes eggs in various stages of development. Eggs have been found (Thompson)",?,"(2, 6) (142) (143) (144)"
Nodularia,Nodularia,obligate,simple,yes,NA,3,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,0,1,1,0,1,1,Section IV in Schirrmeister,1,(15)
Nostoc,Nostoc,obligate,simple,yes,NA,3,350,clonal,"[9],[6]",Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,0,1,1,0,1,1,Schirrmeister 2011: section IV,3,"(15, 16)"
Notholca acuminata,notholca acuminata,obligate,complex,yes,NA,13,3162.28,clonal,[21],Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,0,0,0,1,1,0,"No reports of males, but males may only be present transiently in rotifers anyway— so need regular collections to find them. Virro reports resting eggs in N squamula, does this imply sex? Arthur book, vol 1: “with the exception of the order Seisonidea, asexual reproduction is the most common method of reproduction and is found in all species”. There are also sexual and asexual strains in other brachionids (stelzer 2008)",1,"(2, 6) (61, 145)"
Oncorhynchus mykiss,Salmo gairdneri,obligate,complex,yes,NA,116,251000000000.00,clonal,[21],Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,1,0,0,1,0,0,Parthenogenesis can be recreated in many externally fertilising fish. Komen 2007 Parthenogenesis rarely reported in fish,"1,2","(2, 6, 146)"
Oscillatoria sancta,Oscillatoria sancta,obligate,simple,yes,NA,2,100,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,0,1,1,0,1,1,Schirrmeister 2011: section 3,0,(15)
Pandorina colemaniae,Pandorina colemaniae,obligate,simple,no,0,1,16,clonal,[30],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,(27-30)
Pandorina morum,Pandorina morum,obligate,simple,no,0,1,16,clonal,[30],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,(27-30)
Pedicellina cernua,pedicillina echinata,obligate,complex,yes,NA,10,39810.72,clonal,[21],Animalia,Kamptozoa,Entoprocta,Solitaria,Pedicellinidae,1,0,1,1,0,1,"Cambridge natural history, vol 2: pg 487 image of budding individuals forming colony. Costello 1957 pg 49 describe eggs. Hyman 1951— sometimes hermaphroditic, sometimes dioecious",3,"(2, 6, 147-149)"
Periplaneta americana,Periplaneta americana,obligate,complex,yes,NA,50,3162277660,clonal,[21],Animalia,Arthropoda,Insecta,Blattodea,Blattidae,1,1,0,1,1,0,Katoh: facultative parthenogenesis,"1,2","(2, 6, 150)"
Petermannia cirrosa,Petermannia cirrosa,obligate,complex,yes,NA,39,25119000000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Liliales,Petermanniaceae,1,0,0,1,0,0,"Very little info, fruits described.https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2906802",3,(3)
Physarum polycephalum,Physarum polycephalum,facultative,simple,yes,NA,2,300,clonal,[44-46],Protozoa,Mycetozoa,Myxomycetes,Physarales,Physaraceae,1,1,1,1,1,1,Howard 1931: life history of physarum,3,"(151, 152)"
Pinus monophylla,Pinus monophylla,obligate,complex,yes,NA,30,10000000000,clonal,[21],Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,1,0,0,1,0,0,"can be propagated without seed, but is it naturally occurring? Fryxell",3,"(3)
fs.fed.us (153)"
Pisione remota,Pisione remota,obligate,complex,yes,NA,11,44668.3592,clonal,[21],Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,1,0,0,1,0,0,"Arthur: complex reproductive system for copulation, sperm stored for months","1,2","(2-4, 6, 7, 61)"
Platydorina caudata,Platydorina caudata,obligate,simple,no,0,1,32,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,0,(27-30)
Pleodorina californica,Pleodorina californica,obligate,simple,yes,NA,2,128,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,3,(27-30)
Pleodorina illinoisensis,Pleodorina illinoisensis,obligate,simple,yes,25,2,32,clonal,[32],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,3,(27-30)
Pleodorina indica,Pleodorina indica,obligate,simple,yes,50,2,128,clonal,[32],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,3,(27-30)
Pleodorina japonica,Pleodorina japonica,obligate,simple,yes,NA,2,128,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,3,(27-30)
Pleurobrachia,Pleurobrachia,obligate,complex,yes,NA,13,10000,clonal,"[58, 59]",Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,NA,NA,NA,1,0,1,"No indication of which species Bell refers to. Apparently self-fertile hermaphrodites, can’t see any reports of asex in pleurobrachia. Some ",3,"(2, 6)"
Pocheina flagellata,Pocheina flagellata,facultative,simple,no,0,2,NA,non-clonal,[21],Protozoa,Percolozoa,Heterolobosea,Acrasiales,Guttulinaceae,0,1,0,1,1,0,"v. Little data, abstract in Olive, but no access to paper.",3,(3) (154)
Pocheina rosea,Pocheina rosea,facultative,simple,no,0,2,NA,non-clonal,[21],Protozoa,Percolozoa,Heterolobosea,Acrasiales,Guttulinaceae,1,1,0,1,1,0,This may actually be A. rosea (brown). Life cycle in Brown & Silberman ,3,"(1, 3)"
Pogonatum neesii,Pogonatum neesii,obligate,complex,yes,NA,21,707945784,clonal,"[21, 37]",Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,1,1,1,1,1,1,Frey: protonemata can spread and produce multiple plants,3,"(3, 155)"
Polysphondylium violaceum,Polysphondylium violaceum,facultative,simple,yes,NA,2,NA,non-clonal,[47],Protozoa,Mycetozoa,Dictyosteliomycetes,Dictyosteliales,Dictyosteliaceae,1,1,1,1,1,1,Baldauf and strassman:group splits into multiple smaller sporogens,3,"(36, 37)"
Polytrichum commune,Polytrichum commune,obligate,complex,yes,NA,26,1000000000,clonal,"[21, 37]",Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,0,0,1,1,0,1,"Frey: rhizoid that then disintegrates to leave separate ramets. Mickiewicz 1975, vegetative multiplication and regeneration. Van Der velds 2001 show sex based on microsats in genus. Gemmae common— are they found here?",3,"(3, 155, 156) (157)"
Ptilophora scalaramosa,Ptilophora scalaramosa,obligate,complex,yes,NA,12,31623000000,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,1,0,0,1,0,0,"Can’t find much info about reproduction. Tronchin et al 2004: discuss male/female reproductive structures, nothing about asexual . WoRMS discuss gametophytes and lack of asex",3,"(3, 158)"
Pycnophyes frequens,pycnophyes frequens,obligate,complex,yes,NA,16,7943.28,clonal,[21],Animalia,Cephalorhyncha,Kinorhyncha,Homalorhagida,Pycnophyidae,1,0,0,1,0,0,"Spermatophores observed in genus, but not sex not observed (herranz 2014). Blake 1930 describes sexes in species, but not sex",2,"(2, 6, 159-162)"
Ralfsia verrucosa,Ralfsia verrucosa,obligate,complex,yes,NA,8,630957345,clonal,[21],Chromista,Ochrophyta,Bacillariophyceae,Ralfsiales,Ralfsiaceae,0,1,1,0,1,1,"Forms crust, lives in symbiosis with a limpet. Scraps of filaments could remain after crust disappearance and formed early recruitment (Kain 2008). Can’t see gametes mentioned, but spores are produced by small erect thalli. No mention of macrothallus present that I can find. Nelson 1982: “As noted previously,the life histories of Ralfsiaceae/Lithodermatace which have been examined to date show two basic patterns—either a directtypewith- out evidenceof sexuality,or onewhich showsthe cruststo be stagesin the life historyof plantsin the Scytosiphonal“",3,"(3, 24, 163, 164)"
Raperostelium minutum,Dictyostelium minutum,facultative,simple,yes,20,2,3162.27766,non-clonal,[11],Protozoa,Mycetozoa,Dictyosteliomycetes,Dictyosteliales,Raperosteliaceae,1,1,1,1,1,1,Baldauf & Strassman,3,"(37, 38, 73)"
Rastrognathia macrostoma,rastrognathhia macrostoma,obligate,complex,yes,NA,13,3162.28,clonal,[21],Animalia,Gnathostomulida,Gnathostomulida,Bursovaginoidea,Rastrognathiidae,1,0,0,1,0,0,"Gnathostomulids: simultaneous hermaphrodites, eggs rupture through body wall! (Wiki) can’t really find much. Nielsen 2011: all species are hermaphrodites (Animal evolution: interrelationships of the living phyla). Kristensen 1977— describe oocytes and sperm",?,"(2, 6, 165, 166)"
Rhabditis monhystera,rhabditis monhystera,obligate,complex,yes,NA,23,446.68,clonal,[21],Animalia,Nematoda,Secernentea,Rhabditida,Rhabditidae,1,0,0,1,0,0,"Sex described in genus in shakes 2011 & Felix 2004. See also table at Nigon VM, Félix MA. History of research on C. elegans and other free-living nematodes as model organisms. In: WormBook: The Online Review of C. elegans Biology [Internet]. Pasadena (CA): WormBook; 2005-2018. [Table], Table 3. Available from: https://www.ncbi.nlm.nih.gov/books/NBK453431/table/nematodeshistory_table3/",1,"(2, 6, 167, 168)"
Rhopalura granosa,rhopalura granosa,obligate,complex,yes,NA,3,1412.54,clonal,[21],Animalia,Orthonectida,Orthonectida,Orthonectida,Rhopaluridae,1,1,0,1,1,0,Parasite with sexual/asexual stages: Atkins 1933,?,"(2, 6, 169)"
Rivularia,Rivularia,obligate,simple,yes,NA,NA,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,0,1,1,0,0,1,"Vasishta 1961: always reproduce vegetatively through hormogonia. Algaebase: reproduction by disintegration of trichomes whithin colonies and heterocytes and by hormogonia, separating after the separation of the hair by the help of necridic cells and sometimes liberating from the colonies",?,(27-30) (170)
Saccharomyces cerevisiae,Saccharomyces cerevisiae,facultative,simple,yes,NA,NA,NA,clonal,"[51, 52]",Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,1,1,0,1,1,0,"Has sex, cels can bud— but can pseudohyphae fragment? ",3,(171)
Sagittaria lancifolia,Sagittaria lancifolia,obligate,complex,yes,NA,42,100000000000,clonal,"[21, 22]",Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,1,0,1,1,0,1,Van Drunen: sexual vs asexual. Spreads by rhizomes,3,"(3, 172)"
Salpingoeca rosetta,Salpingoeca rosetta,facultative,simple,no,NA,NA,29,clonal,"[58, 59]",Protozoa,Choanozoa,Choanoflagellatea,Choanoflagellida,Salpingoecidae,1,1,1,1,1,1,"Fairclough 2010: colonies form through cell division of slow swimmers. Dayel 2011: chain colonies can reproduce by fragmentation, long colonies susceptible to sheer stress. Levin 2013: describe sexual and asexual life-cycles",0,(173-175)
Sarconema scinaioides,Sarconema scinaioides,obligate,complex,yes,NA,13,2511886432,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,1,1,1,1,1,1,Papenfuss & edelstein 1974: tips break off and develop new branches,3,"(3, 176)"
Schimmelmannia dawsonii,Schimmelmannia dawsonii,obligate,complex,yes,NA,11,251000000000.00,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Acrosymphytales,Acrosymphytaceae,1,0,0,1,0,0,"Can find v. Little on schimmelmannia. Chihara 1972 describe alternating gametophyte and sporophyte, acleto 1972 describes sex",3,"(3, 24, 177-179)"
Schizosaccharomyces pombe,Schizosaccharomyces pombe,facultative,simple,no,NA,NA,NA,clonal,"[53, 54]",Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,1,1,1,1,1,1,Koschwanez 2011: clumps fragment,3,(171)
Schmidtea mediterranea,dugesia mediterranea,obligate,complex,yes,NA,14,1778279.41,clonal,[21],Animalia,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,1,0,1,1,1,1,Sexual/asexual strains in med. Parthenogenesis seen in S. polychroa,3,
Schmitzia hiscockiana,Schmitzia hiscockiana,obligate,complex,yes,NA,14,200000000000,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gigartinales,Calosiphoniaceae,1,1,1,1,1,1,"Maggs & Guiry 1985: describe gametophytes, carpospores and potential contamination from filaments",3,"(3, 24, 180)"
Scytonema,Scytonema,obligate,simple,yes,NA,2,NA,clonal,"[8], [6]",Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Scytonemataceae,0,1,1,0,1,1,Schirrmeister 2011: section IV,3,(15)
Scytosiphon lomentaria,Scytosiphon lomentaria,obligate,complex,yes,NA,4,794328235,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,1,1,1,1,1,1,"Clayton 1978: cylindrical forms produced asexually, gametophytes observed, and fragments of crustose form used to produce cultures. Kogame 2005, sexual and asexual populations",3,"(3, 181)"
Selenipedium palmifolium,Selenipedium palmifolium,obligate,complex,yes,NA,35,12589000000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,1,0,0,1,0,1,"Cribb: rhizome, hobbyists propagate by dividing after flowering",3,"(3, 182)"
Sorogena stoianovitchae,Sorogena stoianovitchae,facultative,simple,no,0,1,500,non-clonal,"[38, 39]",Chromista,Ciliophora,Colpodea,Sorogenida,Sorogenidae,0,1,0,0,1,0,Aggregative fruiting body formation. Lasek-nesselquist and Katz 2001: “Bursaria is the only colpodea,3,"(183, 184)"
Sphacelaria cirrosa,Sphacelaria bipinnata,obligate,complex,yes,NA,9,1258925412,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Sphacelariales,Sphacelariaceae,1,1,1,1,1,1,"Propagula described in Lee textbook life-cycle fig 21.13, specialised branchlets  (appears to be a parasite of fucus) Goodband 2007 also discusses stoloniferous outgrowths that produce new filaments",3,"(3, 24, 185)"
Sphaerobolus stellatus,Sphaerobolus stellatus,obligate,complex,yes,NA,9,1258925.41,clonal,"[21, 55]",Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,1,1,1,1,1,1,"Geml 2004, thesis describes sex and Asexual spores. But again, can fungi just fragment?",3,"(3, 186)"
Sphagnum recurvum,Sphagnum recurvum,obligate,complex,yes,NA,11,891250938,clonal,"[21, 37]",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,NA,NA,NA,NA,NA,1,Frey: same disintegration of rhizome,3,"(3, 187-189)"
Spirobranchus triqueter,Pomatoceros triqueter,obligate,complex,yes,NA,12,70794.578,clonal,[21],Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,1,0,0,1,0,0,"Arthur: sex ratio description, protandrous. Cotter 2003,","1,2","(2-4, 6, 7, 190, 191)"
Spirulina,Spirulina,obligate,simple,no,0,1,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Oscillatoriaceae,0,1,1,0,1,1,section 3 Schirrmeister 2011,0,"(15, 16)"
Spongilla lacustris,spongilla lacustris,obligate,complex,yes,NA,16,10000.00,clonal,[21],Animalia,Porifera,Demospongiae,Spongillida,Spongillidae,1,0,1,1,0,1,"Manconi: growth and then fragmentation into gemmules throughout the year, leaving patches behind that grow again. Simpson & Gilbert: describe sexual reproduction (but do not directly observe fertilisation). Gilbert: unfertilised eggs implant, but do not develop. ",3,"(2, 6, 192-194)"
Starria zimbabweensis,Starria zimbabweensis,facultative,simple,no,0,1,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Crinalium magnum,Gomontiellaceae,0,1,1,0,1,1,Schirrmeister 2011: section 3,0,"(15, 16)"
Streptomyces albidoflavus,Streptomyces coelicolor,facultative,simple,yes,NA,2,NA,clonal,[4],Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,0,1,1,0,1,1,"Not obligately multicellular: asexual cell division, and the laminar can be split and will regrow.",0,(195)
Streptomyces antibioticus,Streptomyces antibioticus,facultative,simple,yes,NA,NA,NA,clonal,"[4, 5]",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,0,1,1,0,1,1,"Not obligately multicellular: asexual cell division, and the laminar can be split and will regrow.",0,(195)
Streptomyces griseus,Streptomyces griseus,facultative,simple,yes,NA,2,NA,clonal,[4],Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,0,1,1,0,1,1,"Not obligately multicellular: asexual cell division, and the laminar can be split and will regrow.",0,(195)
Symphyogyna brongniartii,Symphyogyna brongniartii,obligate,complex,yes,NA,13,446683.592,clonal,"[21, 37]",Plantae,Marchantiophyta,Jungermanniopsida,Pallaviciniales,Pallaviciniaceae,1,0,0,1,0,1,"McCormick: symphyogyna aspera has lateral spreading (fig 1+2). Cavers 1903: on asexual reproduction: most marchantiales reproduce by spreading, some by gemmules, apogamy & apospory appear rare",3,"(196, 197)"
Symploca,Symploca,obligate,simple,no,0,1,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Oscillatoriaceae,0,1,1,0,1,1,section 3 Schirrmeister 2011,0,"(15, 16)"
Syringoderma phinneyi,Syringoderma phinneyi,obligate,complex,yes,NA,6,199526.232,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Syringodermatales,Syringodermataceae,1,1,0,1,1,0,Henry Müller 1983: describe gamete formation and zoospores. No apparent fragmentation,3,"(3, 24, 198)"
Tetrabaena socialis,Tetrabaena socialis,obligate,simple,no,0,1,4,clonal,"[26, 27]",Plantae,Chlorophyta,Chlorophyceae,Volvocales,Tetrabaenaceae,1,1,1,1,1,1,Tetrabaena and gonium colonies can fragment: hanschen ,0,"(27-30, 101)"
Thalassoanaperus sulcatus,anaperus sulcatus,obligate,complex,yes,NA,9,125892541.18,clonal,[21],Animalia,Xenacoelomorpha,Acoelomorpha,Acoela,Convolutidae,0,0,0,0,0,0,Penis described in image of Beklemischev 1914. V. Little info on these— can all acoel worms split?,3,"(2, 6, 199)"
Trichodesmium erythraeum,Trichodesmium erythraeum,obligate,simple,yes,NA,2,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,0,1,1,0,1,1,Schirrmeister 2011: section 3,0,"(15, 16)"
Trichoplax adhaerens,Trichoplax adhaerens,obligate,complex,yes,NA,4,316.23,clonal,[21],Animalia,Placozoa,Placozoa,Placozoa,Trichoplacidae,1,0,1,1,0,1,"Image of splitting in Srivastrava 2008. Sex not observed in culture, but genetic evidence of sexual reproduction in Signorovitch 2005. Oocytes often observed in degenerating animals",3,"(2, 6, 200, 201)"
Turbanella cornuta,turbanella cornuta,obligate,complex,yes,NA,18,7079.46,clonal,[21],Animalia,Gastrotricha,Gastrotricha,Macrodasyida,Turbanellidae,1,0,0,1,0,0,"Gastrotricha reproduction not all that well studied— macrodasiyds simultaneous hermaphrodites (wiki). While freshwater gastrotrichs are parthenogenesis (wiki). Sperm and reproductive organs are described in Teuchert 1977, and reproduction in Giese vol 1(Hummon)",1,"(2, 6, 61, 202)"
