species,species_original_name,Obligate_or_facultative,Simple_or_complex,Sterile_soma,Proportion_of_sterile_cells,cell_types,cell_number,clonal,Fisher Ref,kingdom,phylum,class,order,family,SexualReproductionObserved_Species,AsexualGameticObserved_Species,FissionOrBuddingObserved_Species,SexualReproductionObserved_Genus,AsexualGameticObserved_Genus,FissionOrBuddingObserved_Genus,notes,fragmentation_or_budding,germline_timing,refs,
Hymenophyllum tunbridgense,Hymenophyllum tunbridgense,obligate,complex,yes,NA,15,7079457844,clonal,[21],Plantae,Tracheophyta,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,0,0,1,0,0,1,"Effective reproduction, at least under present conditions in great britain, seems to occur only vegetatively’. Mature gametophytes not observed, and young sporophytes not found. Richards 1972",b,3,"(2, 71, 72)",
Laminaria dentigera,Laminaria dentigera,obligate,complex,yes,NA,14,126000000000.00,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,1,0,0,1,0,1,Laminaria digitata: Destombe shows male gametophytes fragments to reproduce. Life-cycle of general laminaria described in Bartsch 2008,f,3,"(2, 30)",
Loxosoma saltans,loxosoma sultana,obligate,complex,yes,NA,16,3548.13,clonal,[21],Animalia,Kamptozoa,Entoprocta,Coloniales,Loxosomatidae,1,0,1,1,0,1,"Only one description: describes oocyte, sperm & few buds (assheton 1912) Appears that all Ectoprocta can bud, wiki. Perhaps with exception of L. isolata (Giere Meiobenthology)",Budding,3,"(1, 4)",
Lumbricus terrestris,Lumbricus terrestris,obligate,complex,yes,NA,57,10000000000,clonal,[57],Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,1,0,0,1,1,0,"No fission in lumbricus from zattara, or in Cosin Earthworm chapter: cross fertilising hermaphrodite. However parthenogenesis is common in lumbricidae, observed in lumbricus eiseni (Reynolds 1974). Lumbriculus can reproduce by fission (Martinez 2006), so beware of potential confusion",none,"1,2",(1-5),
Macrostomum tuba,macrostomum gigas,obligate,complex,yes,NA,14,501187.23,clonal,[21],Animalia,Platyhelminthes,Rhabditophora,Macrostomorpha,Macrostomidae,1,0,0,1,0,0,Egger: exclusively sexually reproducing genus. Wudarski 2017: describes production of inseminated eggs in genus,none,3,"(1, 4, 15, 16)",
Methanosarcina mazei,Methanosarcina mazei,facultative,simple,NA,NA,NA,NA,clonal,"[16, 17]",Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,0,1,1,0,1,1,"Not obligately multicellular: asexual cell division, and the laminar can be split and will regrow.",fission,0,-19,
Microcoleus chthonoplastes,Microcoleus chthonoplastes,obligate,simple,yes,NA,2,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Microcoleaceae,0,1,1,0,1,1,Schirrmeister 2011: section 3,fission,0,-18,
Monoclea forsteri,Monoclea forsteri,obligate,complex,yes,NA,13,3162277.66,clonal,"[21, 37]",Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Monocleaceae,1,0,1,1,0,1,Cavers 1903: observe fragments regrowing,f&b,3,-55,
Morone saxatilis,Morone saxatilis,obligate,complex,yes,NA,122,251000000000.00,clonal,[21],Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,1,0,0,1,0,0,"Gervasi 2015: some reports of hermaphroditism, but rare. No reports of parthenogenesis",none,"1,2","(1, 4)",
Mus musculus,Mus musculus,obligate,complex,yes,NA,102,200000000000,clonal,[21],Animalia,Chordata,Mammalia,Rodentia,Muridae,1,0,0,1,0,0,"Parthenogenesis can be induced in mouse, but embryos die after ~10 days? Kono 2004. (But some vertebrates do use parthenogenesis! Lizards, etc)",none,"1,2","(1, 4)",
Myxococcus fulvus,Myxococcus fulvus,facultative,simple,yes,NA,2,100000,non-clonal,"[10, 11]",Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,0,1,0,0,1,0,"Good review in Muñoz-Dorado 2016. Cells have coordinated growth in swarms, but form fruiting bodies by aggregation during starvation",NA,3,-26,
Myxococcus xanthus,Myxococcus xanthus,facultative,simple,yes,NA,2,100000,non-clonal,[10-14],Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,0,1,0,0,1,0,"Good review in Muñoz-Dorado 2016. Cells have coordinated growth in swarms, but form fruiting bodies by aggregation during starvation",NA,3,-26,
Nais variabilis,Nais variabilis,obligate,complex,yes,NA,13,251188.643,clonal,[57],Animalia,Annelida,Clitellata,Haplotaxida,Naididae,1,0,1,1,0,1,"Lochhead and learner 1984 descibe sexual, 1983 for asexual, Parish 1981: most individuals asexual. Arthur: sexual specimens of naididae rarely found (Reproduction of marine invertebrates, v 3. pg 217)",fission,"1,2",(1-6),
Neomenia carinata,neomenia carinata,obligate,complex,yes,NA,7,1000.00,clonal,[21],Animalia,Mollusca,Solenogastres,Neomeniamorpha,Neomeniidae,1,0,0,1,0,0,"Adults known to have gonads: Koren & Danielssen “Langs dyrets rugflade, I same renting som kjølen, I melee den of maven ligger Hermaphroditkjertelen”. Tullberg describes eggs in various stages of development. Eggs have been found (Thompson)",NA,?,"(1, 4)",
Anabaena,Anabaena,obligate,simple,yes,10,3,600,clonal,"[6, 9]",Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,0,1,1,0,1,1,Schirrmeister 2011: section IV,fission,3,"(18, 22)",
Nostoc,Nostoc,obligate,simple,yes,NA,3,350,clonal,"[9],[6]",Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,0,1,1,0,1,1,Schirrmeister 2011: section IV,fission,3,"(18, 22)",
Craspedacusta sowerbii,microhydra rideri,obligate,complex,yes,NA,3,125.8925412,clonal,[21],Animalia,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,1,0,1,1,0,1,"Freshwater jellyfish: can bud polyps, frustules or medusae. Once mature, sperm or eggs released Folino-rorem 2015. No reports of parthenogenesis on WoS with new name. ‘Parthenogenesis may occur in Limnocodium’, but evidence is slight Fowler",Budding,3,"(1, 4, 13)",
Valvognathia pogonostoma,valvognathia pogonostoa,obligate,complex,yes,NA,15,1778.28,clonal,[21],Animalia,Gnathostomulida,NA,Bursovaginoidea,Onychognathiidae,1,0,0,1,0,0,"Gnathostomulids: simultaneous hermaphrodites, eggs rupture through body wall! (Wiki) can’t really find much. Nielsen 2011: all species are hermaphrodites (Animal evolution: interrelationships of the living phyla). Kristensen 1978— describe oocytes and sperm",none,?,"(1, 4)",
Helminthostachys zeylanica,Helminthostachys zeylanica,obligate,complex,yes,NA,5,70794578.4,clonal,"[21, 22]",Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,1,0,1,1,0,1,Manna 2013: low spore germination rate and preference of vegetative propagation. Whittier 1987 discusses sporophyte/gametophyte. Mazumder 2010 discusses sex in H zeylanica. ,b,3,"(2, 74, 75)",
Cheiroglossa palmata,Ophioglossum palmatum,obligate,complex,yes,NA,14,6309573445,clonal,[21],Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,1,0,0,1,0,1,"Mesler 1975 describes gametophytes, which lead to sporophytes in O palmatum (but says that apogamy cannot be rules out). Whittier 2011 describes ophioglossum pendulum gametophytes. McMaster 1996 describes vegetative spread by rhizome in ophioglossum pusillum. ",b,3,"(2, 73)",
Selenipedium palmifolium,Selenipedium palmifolium,obligate,complex,yes,NA,35,12589000000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,1,0,0,1,0,1,"Cribb: rhizome, hobbyists propagate by dividing after flowering",b,3,"(2, 67)",
Arthrospira,Arthrospira,obligate,simple,yes,NA,2,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Oscillatoriaceae,0,1,1,0,1,1,https://core.ac.uk/download/pdf/108388.pdf and Schirrmeister 2011,fission,0,"(18, 22, 23)",
Spirulina,Spirulina,obligate,simple,no,0,1,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Oscillatoriaceae,0,1,1,0,1,1,section 3 Schirrmeister 2011,fission,0,"(18, 22)",
Symploca,Symploca,obligate,simple,no,0,1,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Oscillatoriaceae,0,1,1,0,1,1,section 3 Schirrmeister 2011,fission,0,"(18, 22)",
Oscillatoria sancta,Oscillatoria sancta,obligate,simple,yes,NA,2,100,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,0,1,1,0,1,1,Schirrmeister 2011: section 3,fission,0,-18,
Lyngbya aestuarii,Lyngbya aestuarii,obligate,simple,yes,NA,2,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,0,1,1,0,1,1,Schirrmeister 2011: Section 3,fission,0,-18,
Symphyogyna brongniartii,Symphyogyna brongniartii,obligate,complex,yes,NA,13,446683.592,clonal,"[21, 37]",Plantae,Marchantiophyta,Jungermanniopsida,Pallaviciniales,Pallaviciniaceae,1,0,0,1,0,1,"McCormick: symphyogyna aspera has lateral spreading (fig 1+2). Cavers 1903: on asexual reproduction: most marchantiales reproduce by spreading, some by gemmules, apogamy & apospory appear rare",b,3,,
Pedicellina cernua,pedicillina echinata,obligate,complex,yes,NA,10,39810.72,clonal,[21],Animalia,Kamptozoa,Entoprocta,Solitaria,Pedicellinidae,1,0,1,1,0,1,"Cambridge natural history, vol 2: pg 487 image of budding individuals forming colony. Costello 1957 pg 49 describe eggs. Hyman 1951— sometimes hermaphroditic, sometimes dioecious",Budding,3,"(1, 4)",
Petermannia cirrosa,Petermannia cirrosa,obligate,complex,yes,NA,39,25119000000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Liliales,Petermanniaceae,1,0,0,1,0,0,"Very little info, fruits described.https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2906802",b,3,-2,
Trichodesmium erythraeum,Trichodesmium erythraeum,obligate,simple,yes,NA,2,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Phormidiaceae,0,1,1,0,1,1,Schirrmeister 2011: section 3,fission,0,"(18, 22)",
Physarum polycephalum,Physarum polycephalum,facultative,simple,yes,NA,2,300,clonal,[44-46],Protozoa,Mycetozoa,Myxomycetes,Physarales,Physaraceae,1,1,1,1,1,1,Howard 1931: life history of physarum,f,3,-82,
Pinus monophylla,Pinus monophylla,obligate,complex,yes,NA,30,10000000000,clonal,[21],Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,1,0,0,1,0,0,"can be propagated without seed, but is it naturally occurring? Fryxell",f?,3,-2,
Pleurobrachia ,Pleurobrachia ,obligate,complex,yes,NA,13,10000,clonal,"[58, 59]",Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,?,?,?,1,0,1,"No indication of which species Bell refers to. Apparently self-fertile hermaphrodites, can’t see any reports of asex in pleurobrachia. Some ",none,3,"(1, 4)",
Chondromyces crocatus,Chondromyces crocatus,facultative,simple,yes,NA,2,NA,non-clonal,[10],Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,0,1,0,0,1,0,,NA,3,-26,
Pogonatum neesii,Pogonatum neesii,obligate,complex,yes,NA,21,707945784,clonal,"[21, 37]",Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,,,1,,,1,Frey: protonemata can spread and produce multiple plants,b,3,-2,
Polytrichum commune,Polytrichum commune,obligate,complex,yes,NA,26,1000000000,clonal,"[21, 37]",Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,0,0,1,1,0,1,"Frey: rhizoid that then disintegrates to leave separate ramets. Mickiewicz 1975, vegetative multiplication and regeneration. Van Der velds 2001 show sex based on microsats in genus. Gemmae common— are they found here?",b,3,"(2, 45)",
Callinectes sapidus,Callinectes sapidus,obligate,complex,yes,NA,69,316000000000.00,clonal,[21],Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,1,0,0,1,0,0,"Hines: females mate once and store sperm. Some crayfish can be parthenogenetic, but can’t see any crabs",none,"1,2","(1, 4)",
Enterostomula graffi,entersostomula graffi,obligate,complex,yes,NA,12,354813.39,clonal,[21],Animalia,Platyhelminthes,Rhabditophora,Prolecithophora,Pseudostomidae,1,0,0,1,0,0,"Jones 1941 describes sexual organs, does not mention asexual reproduction anywhere",none,3,"(1, 4)",
Pycnophyes frequens,pycnophyes frequens,obligate,complex,yes,NA,16,7943.28,clonal,[21],Animalia,Cephalorhyncha,Kinorhyncha,Homalorhagida,Pycnophyidae,1,0,0,1,0,0,"Spermatophores observed in genus, but not sex not observed (herranz 2014). Blake 1930 describes sexes in species, but not sex",none,2,"(1, 4, 96)",
Ralfsia verrucosa,Ralfsia verrucosa,obligate,complex,yes,NA,8,630957345,clonal,[21],Chromista,Ochrophyta,Bacillariophyceae,Ralfsiales,Ralfsiaceae,0,1,1,0,1,1,"Forms crust, lives in symbiosis with a limpet. Scraps of filaments could remain after crust disappearance and formed early recruitment (Kain 2008). Can’t see gametes mentioned, but spores are produced by small erect thalli. No mention of macrothallus present that I can find. Nelson 1982: “As noted previously,the life histories of Ralfsiaceae/Lithodermatace which have been examined to date show two basic patterns—either a directtypewith- out evidenceof sexuality,or onewhich showsthe cruststo be stagesin the life historyof plantsin the Scytosiphonal“
",f,3,"(2, 30)",
Raperostelium minutum,Dictyostelium minutum,facultative,simple,yes,20,2,3162.27766,non-clonal,[11],Protozoa,Mycetozoa,Dictyosteliomycetes,Dictyosteliales,Raperosteliaceae,1,1,1,1,1,1,Baldauf & Strassman,f,3,-81,
Rastrognathia macrostoma,rastrognathhia macrostoma,obligate,complex,yes,NA,13,3162.28,clonal,[21],Animalia,Gnathostomulida,NA,Bursovaginoidea,Rastrognathiidae,1,0,0,1,0,0,"Gnathostomulids: simultaneous hermaphrodites, eggs rupture through body wall! (Wiki) can’t really find much. Nielsen 2011: all species are hermaphrodites (Animal evolution: interrelationships of the living phyla). Kristensen 1977— describe oocytes and sperm",none,?,"(1, 4)",
Caenorhabditis elegans,caenorhabditis elegans,obligate,complex,yes,NA,24,891.25,clonal,[21],Animalia,Nematoda,Secernentea,Rhabditida,Rhabditidae,1,0,0,1,0,0,"Can self-fertilise, but not parthenogenesis, and not fission. Diploscapter pachys (another nematode) can reproduce parthenogenetically",NA,1,"(1, 4)",
Rhabditis monhystera,rhabditis monhystera,obligate,complex,yes,NA,23,446.68,clonal,[21],Animalia,Nematoda,Secernentea,Rhabditida,Rhabditidae,1,0,0,1,0,0,"Sex described in genus in shakes 2011 & Felix 2004. See also table at Nigon VM, Félix MA. History of research on C. elegans and other free-living nematodes as model organisms. In: WormBook: The Online Review of C. elegans Biology [Internet]. Pasadena (CA): WormBook; 2005-2018. [Table], Table 3. Available from: https://www.ncbi.nlm.nih.gov/books/NBK453431/table/nematodeshistory_table3/
",NA,1,"(1, 4)",
Botryocladia wynnei,Botryocladia wynnei,obligate,complex,yes,NA,6,3981071.71,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,1,0,1,1,0,1,"Many red and brown algae are cultivated by taking pieces and growing them: does this happen in nature? (At least one of references here describes how fish can cause fragmentation, which species was this?",f,3,"(2, 30, 61)",
Rhopalura granosa,rhopalura granosa,obligate,complex,yes,NA,3,1412.54,clonal,[21],Animalia,Orthonectida,NA,NA,Rhopaluridae,1,1,0,1,1,0,Parasite with sexual/asexual stages: Atkins 1933,none,?,"(1, 4)",
Calothrix,Calothrix,obligate,simple,yes,NA,3,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,0,1,1,0,1,1,Schirrmeister 2011: section IV,fission,3,"(18, 22)",
Rivularia,Rivularia,obligate,simple,yes,NA,NA,NA,clonal,[6],Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,0,1,1,0,0,1,"Vasishta 1961: always reproduce vegetatively through hormogonia. Algaebase: reproduction by disintegration of trichomes whithin colonies and heterocytes and by hormogonia, separating after the separation of the hair by the help of necridic cells and sometimes liberating from the colonies",NA,?,(49-52),
Saccharomyces cerevisiae,Saccharomyces cerevisiae,facultative,simple,yes,NA,NA,NA,clonal,"[51, 52]",Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,1,1,0,1,1,0,"Has sex, cels can bud— but can pseudohyphae fragment? ",,3,,
Oncorhynchus mykiss,Salmo gairdneri,obligate,complex,yes,NA,116,251000000000.00,clonal,[21],Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,1,0,0,1,0,0,Parthenogenesis can be recreated in many externally fertilising fish. Komen 2007 Parthenogenesis rarely reported in fish,none,"1,2","(1, 4)",
Salpingoeca rosetta,Salpingoeca rosetta,facultative,simple,no,NA,NA,29,clonal,"[58, 59]",Protozoa,Choanozoa,Choanoflagellatea,Choanoflagellida,Salpingoecidae,1,1,1,1,1,1,"Fairclough 2010: colonies form through cell division of slow swimmers. Dayel 2011: chain colonies can reproduce by fragmentation, long colonies susceptible to sheer stress. Levin 2013: describe sexual and asexual life-cycles",f,0,-76,
Schizosaccharomyces pombe,Schizosaccharomyces pombe,facultative,simple,no,NA,NA,NA,clonal,"[53, 54]",Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,1,1,1,1,1,1,Koschwanez 2011: clumps fragment,f,3,,
Scytonema,Scytonema,obligate,simple,yes,NA,2,NA,clonal,"[8], [6]",Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Scytonemataceae,0,1,1,0,1,1,Schirrmeister 2011: section IV,fission,3,-18,
Scytosiphon lomentaria,Scytosiphon lomentaria,obligate,complex,yes,NA,4,794328235,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,1,1,1,1,1,1,"Clayton 1978: cylindrical forms produced asexually, gametophytes observed, and fragments of crustose form used to produce cultures",f,3,-2,
Colpomenia sinuosa,Colpomenia sinuosa,obligate,complex,yes,NA,5,1995262315,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,1,1,0,1,1,0,Kogame 1997: vague terms used that aren’t v. helpful. Toste 2003 for C. sinuosa: sexual/asexual,,3,"(2, 30)",
Heteroralfsia saxicola,Heteroralfsia saxicola,obligate,complex,yes,NA,9,794328235,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,1,1,0,1,1,0,"Kawai 2010, fig 23.",,3,"(2, 30)",
Spirobranchus triqueter,Pomatoceros triqueter,obligate,complex,yes,NA,12,70794.578,clonal,[21],Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,1,0,0,1,0,0,"Arthur: sex ratio description, protandrous. Cotter 2003, ",none,"1,2","(1-5, 9, 10)",
Pisione remota,Pisione remota,obligate,complex,yes,NA,11,44668.3592,clonal,[21],Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,1,0,0,1,0,0,"Arthur: complex reproductive system for copulation, sperm stored for months",none,"1,2",(1-5),
Sarconema scinaioides,Sarconema scinaioides,obligate,complex,yes,NA,13,2511886432,clonal,[21],Plantae,Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,1,1,1,1,1,1,Papenfuss & edelstein 1974: tips break off and develop new branches,f,3,-2,
Sorogena stoianovitchae,Sorogena stoianovitchae,facultative,simple,no,0,1,500,non-clonal,"[38, 39]",Chromista,Ciliophora,Colpodea,Sorogenida,Sorogenidae,0,1,0,0,1,0,Aggregative fruiting body formation. Lasek-nesselquist and Katz 2001: “Bursaria is the only colpodea ,NA,3,-28,
Sphacelaria cirrosa,Sphacelaria bipinnata,obligate,complex,yes,NA,9,1258925412,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Sphacelariales,Sphacelariaceae,1,1,1,1,1,1,Propagules described in Lee textbook life-cycle fig (appears to be a parasite of fucus?),f,3,"(2, 30)",
Sphagnum recurvum,Sphagnum recurvum,obligate,complex,yes,NA,11,891250938,clonal,"[21, 37]",Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,,,,,,1,Frey: same disintegration of rhizome,b,3,"(2, 46-48)",
Spongilla lacustris,spongilla lacustris,obligate,complex,yes,NA,16,10000.00,clonal,[21],Animalia,Porifera,Demospongiae,Spongillida,Spongillidae,1,0,1,1,0,1,"Manconi: growth and then fragmentation into gemmules throughout the year, leaving patches behind that grow again. Simpson & Gilbert: describe sexual reproduction (but do not directly observe fertilisation). Gilbert: unfertilised eggs implant, but do not develop. ",fission,3,"(1, 4, 17)",
Carpomitra costata,Carpomitra costata,obligate,complex,yes,NA,7,2511886432,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Sporochnales,Sporochnaceae,0,0,0,0,0,0,"Orfanidis describes the gametophyte, but nothing really about life cycle	",,3,"(2, 30)",
Croomia pauciflora,Croomia pauciflora,obligate,complex,yes,NA,42,25119000000,clonal,[21],Plantae,Tracheophyta,Liliopsida,Pandanales,Stemonaceae,1,0,1,1,0,1,Li et al 2008: sexually by cross pollination & asexual by spreading rhizome,b,3,"(2, 68)",
Fischerella,Fischerella,obligate,simple,yes,NA,2,NA,clonal,"[8],[6]",Bacteria,Cyanobacteria,Cyanophyceae,Stigonematales,Stigonemataceae,0,1,1,0,1,1,Schirrmeister 2011: section V,fission,3,"(18, 22)",
Streptomyces antibioticus,Streptomyces antibioticus,facultative,simple,yes,NA,NA,NA,clonal,"[4, 5]",Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,0,1,1,0,1,1,"Not obligately multicellular: asexual cell division, and the laminar can be split and will regrow.",fission,0,-20,
Streptomyces albidoflavus,Streptomyces coelicolor,facultative,simple,yes,NA,2,NA,clonal,[4],Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,0,1,1,0,1,1,"Not obligately multicellular: asexual cell division, and the laminar can be split and will regrow.",fission,0,-20,
Streptomyces griseus,Streptomyces griseus,facultative,simple,yes,NA,2,NA,clonal,[4],Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,0,1,1,0,1,1,"Not obligately multicellular: asexual cell division, and the laminar can be split and will regrow.",fission,0,-20,
Hummia onusta,Hummia onusta,obligate,complex,yes,NA,5,100000000,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Dictyosiphonales,Striariaceae,1,?,0,1,?,0,"Don’t have access to Fiore 1976: describes gametes in abstract, may describe parthenogenesis. Can find little else",,3,"(2, 30)",
Syringoderma phinneyi,Syringoderma phinneyi,obligate,complex,yes,NA,6,199526.232,clonal,[21],Chromista,Ochrophyta,Phaeophyceae,Syringodermatales,Syringodermataceae,1,1,0,1,1,0,Henry Müller 1983: describe gamete formation and apogamous parthenogenesis. No apparent fragmentation,,3,"(2, 30)",
Basichlamys sacculifera,Basichlamys sacculifera,obligate,simple,no,0,1,4,clonal,[25],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Tetrabaenaceae,,,,,,,Previously belonged to gonium,NA,0,(49-52),
Tetrabaena socialis,Tetrabaena socialis,obligate,simple,no,0,1,4,clonal,"[26, 27]",Plantae,Chlorophyta,Chlorophyceae,Volvocales,Tetrabaenaceae,1,1,1,1,1,1,Tetrabaena and gonium colonies can fragment: hanschen ,f,0,(49-52),
Haplospora globosa,Haplospora globosa,obligate,complex,yes,NA,4,25119000000,clonal,"[21, 43]",Chromista,Ochrophyta,Phaeophyceae,Tilopteridales,Tilopteridaceae,0,1,1,0,1,1,"Kuhlenkamp 1996 : fragments of Haplospora produced rhizoids at their basal ends in a similar manner, plus uprights from prostrate discs. Creeping rhizomes that can produce many uprights. Kuhlenkamp 1985: ‘sporophytes alternate with gametophytes without sexuality’. Isolated eggs developed normally, sperm are not attracted to eggs and fall and die. ",b,3,"(2, 41)",
Trichoplax adhaerens,Trichoplax adhaerens,obligate,complex,yes,NA,4,316.23,clonal,[21],Animalia,Placozoa,NA,NA,Trichoplacidae,1,0,1,1,0,1,"Image of splitting in Srivastrava 2008. Sex not observed in culture, but genetic evidence of sexual reproduction in Signorovitch 2005. Oocytes often observed in degenerating animals",fission,3,"(1, 4, 14)",
Turbanella cornuta,turbanella cornuta,obligate,complex,yes,NA,18,7079.46,clonal,[21],Animalia,Gastrotricha,NA,Macrodasyida,Turbanellidae,1,0,0,1,0,0,"Gastrotricha reproduction not all that well studied— macrodasiyds simultaneous hermaphrodites (wiki). While freshwater gastrotrichs are parthenogenesis (wiki). Sperm and reproductive organs are described in Teuchert 1977, and reproduction in Giese vol 1(Hummon)",none,1,"(1, 4)",
Gonium octonarium,Gonium octonarium,obligate,simple,no,0,1,NA,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,1,1,1,1,Herron 2008 paper has good descriptions for the volvocine algae,f,0,(49-52),
Volvox africanus,Volvox africanus,obligate,simple,yes,99.9,2,8192,clonal,"[27, 33]",Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,0,0,"In volvox, immature colonies grow from single cells within the adult and then burst out-- this is a bottleneck, but does it really represent a bud where we know the 1st cell? ",NA,3,(49-52),
Volvox barberi,Volvox barberi,obligate,simple,yes,99.98,2,32768,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,NA,3,(49-52),
Volvox carteri f. kawasakiensis,Volvox carteri f. kawasakiensis,obligate,simple,yes,99,2,2048,clonal,"[16, 34-36]",Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,Asymmetrical cell division determines reproduction (cell-cell interactions?),NA,2,(49-52),
Volvox carteri f. nagariensis,Volvox carteri f. nagariensis,obligate,simple,yes,99,2,4096,clonal,"[16, 34-36]",Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,NA,2,(49-52),
Volvox carteri f. weismannia,Volvox carteri f. weismannia,obligate,simple,yes,99,2,2048,clonal,"[16, 34-36]",Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,NA,2,(49-52),
Volvox dissipatrix,Volvox dissipatrix,obligate,simple,yes,NA,2,16384,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,NA,3,(49-52),
Volvox gigas,Volvox gigas,obligate,simple,yes,93.75,2,4096,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,NA,3,(49-52),
Volvox obversus,Volvox obversus,obligate,simple,yes,NA,2,2048,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,NA,2,(49-52),
Zeacarpa leiomorpha,Zeacarpa leiomorpha,obligate,complex,yes,NA,8,7943282347,clonal,[21],Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Volvocaceae,1,1,0,1,1,0,,NA,3,(49-52),
Eudorina cylindrica,Eudorina cylindrica,obligate,simple,yes,NA,2,16,clonal,[27],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
Eudorina elegans,Eudorina elegans,obligate,simple,yes,12.5,1,32,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
Eudorina minodii,Eudorina minodii,obligate,simple,no,0,1,32,clonal,[29],Plantae,Chlorophyta,Chlorophyceae,Volvocales,Volvocaceae,1,1,0,1,1,0,,NA,0,(49-52),
